Pais;CasesPorAño;Cob_Serv_San_%;Gasto_Salud_%;Den_Pobla_x_Kil
Afghanistan;49273;48,57;8,747776892;58,4427696
Albania;48530;31,43;4,615993867;106,1573723
Algeria;92102;35,71;5,895428796;18,18516867
Angola;16188;31,43;2,789289703;25,42449631
Antigua and Barbuda;148;24,29;4,773317326;222,1808461
Argentina;1498160;34,29;10,74259229;16,56208128
Armenia;148682;44,29;7,946469775;104,9253446
Australia;28031;54,29;8,943241504;3,313951809
Austria;320036;41,43;9,786512942;107,8799479
Azerbaijan;175874;32,86;3,04079948;122,7778065
Bahamas;7674;32,86;5,37485331;39,47371576
Bahrain;89143;32,86;3,925368494;2074,16362
Bangladesh;490533;52,86;2,026025838;1269,767419
Barbados;292;37,14;5,948768987;671,0886576
Belarus;160295;42,86;4,71251955;46,92991889
Belgium;608001;44,29;9,705913992;380,8024608
Belize;9295;35,71;5,496692201;17,23757893
Benin;3090;41,43;2,363116827;104,6604336
Bhutan;438;41,43;2,792992771;20,30176161
Bolivia (Plurinational State of);147150;50;5,639814301;10,72709039
Bosnia and Herzegovina;101117;35,71;7,763138272;64,94469744
Botswana;12501;35,71;5,584792499;4,08524199
Brazil;6901952;42,86;8,902130865;25,62911349
Brunei Darussalam;152;35,71;2,322437373;83,68332501
Bulgaria;179449;42,86;6,223376944;64,4624033
Burkina Faso;4030;44,29;4,582114486;74,09660696
Burundi;729;40;8,43012162;446,5502719
Cabo Verde;11357;32,86;5,000641897;137,8764486
Cambodia;359;44,29;5,032494894;94,11906508
Cameroon;25143;34,29;3,346162213;54,82341827
Canada;460743;40;9,93519578;4,207712246
Central African Republic;4936;28,57;10,29160839;7,667282017
Chad;1770;35,71;3,823445758;12,63779926
Chile;571919;42,86;8,807827675;25,68142558
China;91994;38,57;4,332437299;150,501109
Colombia;1425774;54,29;7,325095426;45,80641937
Comoros;628;21,43;4,602989477;459,2769403
Congo;6049;32,86;7,60745559;15,39872434
Costa Rica;150947;47,14;6,829854;100,3994795
Croatia;175886;51,43;6,308453597;72,15545008
Cuba;9423;50;9,979655532;110,6812253
Cyprus;15101;41,43;6,535358599;131,0356288
Czechia;581079;42,86;6,843450816;138,1714888
Democratic Republic of the Congo;14512;35,71;3,189544384;36,9677227
Denmark;109758;51,43;9,638031298;146,1039767
Djibouti;5728;35,71;1,948440458;42,68598459
Dominican Republic;154692;51,43;5,141546803;225,2231295
Ecuador;202110;45,71;7,506843874;70,60989796
Egypt;121575;50;3,967415646;99,40347652
El Salvador;41880;51,43;6,598841673;315,9640598
Equatorial Guinea;5185;22,86;3,491493028;47,9794127
Eritrea;711;28,57;2,751567898;35,02652736
Estonia;18055;60;5,918419589;30,46427046
Eswatini;6768;40;6,415589447;67,67500918
Ethiopia;116769;48,57;2,586652011;99,38991702
Fiji;46;28,57;3,226562166;49,27164559
Finland;30810;51,43;8,622605857;18,27082788
France;2376852;45,71;10,88778406;123,5634965
Gabon;9330;25,71;2,681711464;8,444476241
Gambia;3782;34,29;3,259142597;231,9206851
Georgia;191063;50;6,040061703;65,2061091
Germany;1337078;47,14;11,02848082;238,2456335
Ghana;53014;55,71;3,234969991;134,3556161
Greece;124534;28,57;7,615442406;83,90074422
Grenada;69;21,43;4,18102546;329,8829722
Guatemala;129282;38,57;5,19703438;156,5074406
Guinea;13420;34,29;3,806101756;51,78770244
Guyana;5920;35,71;4,080991598;3,991092088
Haiti;9565;37,14;4,748167459;412,7412573
Honduras;114359;47,14;6,380023389;88,03617902
Hungary;283870;48,57;5,955786496;106,9679168
Iceland;5557;54,29;9,129718168;3,558257592
India;9884100;42,86;3,181242314;465,4764041
Indonesia;617820;52,86;2,443946763;145,8194035
Iran (Islamic Republic of);1108269;32,86;7,918191311;50,81673743
Iraq;574634;38,57;3,573551526;91,03720246
Ireland;76185;42,86;6,414202744;71,69396521
Israel;357859;44,29;7,163714811;421,3405973
Italy;1843712;45,71;8,506226415;204,0331552
Jamaica;11710;38,57;5,49221628;275,152353
Japan;179653;57,14;10,17977871;350,2259818
Jordan;259614;44,29;7,062579265;115,6900266
Kazakhstan;186277;40;2,556596045;6,872835383
Kenya;91892;45,71;4,450690932;92,95132878
Kuwait;146218;47,14;4,914382515;241,1979311
Kyrgyzstan;77674;40;5,924155618;33,70958418
Lao People's Democratic Republic;41;41,43;2,065697616;31,33937069
Latvia;25675;50;5,607842462;30,91303275
Lebanon;146520;41,43;8,74882849;686,5897292
Lesotho;2250;34,29;10,18127313;70,88852368
Liberia;1676;35,71;6,715339349;51,37025685
Libya;90779;38,57;0,353719049;3,898938807
Lithuania;95021;41,43;5,803239493;44,72057887
Luxembourg;41272;48,57;5,107493722;258,0338363
Madagascar;17638;34,29;4,018273768;46,40854171
Malawi;6066;42,86;7,912858793;197,7982864
Malaysia;83475;42,86;3,435387347;98,43095083
Maldives;13368;28,57;8,375528576;1768,503743
Mali;5814;41,43;3,720734643;16,03056611
Malta;11101;28,57;8,47242023;1531,944627
Mauritania;10780;35,71;3,035328369;4,392256991
Mauritius;515;41,43;5,351497403;633,4056088
